brand,car_model,date_of_sale,car_price
Chevrolet,Camaro,11/10/2021,52199
Nissan,Sentra,13/11/2010,26271
Tesla,Model 3,03/12/2019,57130
Tesla,,18/12/2011,20201
Honda,Accord,03/01/2010,91883
Toyota,Camry,11/05/2020,69774
Chevrolet,Camaro,21/04/2022,30026
Tesla,Model 3,10/08/2019,22576
Chevrolet,Camaro,26/01/2012,13540
Nissan,Sentra,27/01/2020,79153
Chevrolet,Camaro,09/11/2014,88819
Kia,Picanto,24/04/2017,17031
Kia,Picanto,13/05/2012,48369
Honda,Accord,06/04/2010,71115
Nissan,Sentra,13/09/2010,73920
Tesla,Model 3,10/08/2016,54135
Toyota,Camry,02/06/2020,42962
Nissan,Sentra,18/09/2013,11597
Kia,Picanto,22/12/2012,28930
Honda,Accord,19/06/2017,44067
Kia,Picanto,02/06/2015,28385
Chevrolet,Camaro,12/05/2010,52894
Ford,Mustang,01/04/2010,81450
Nissan,Sentra,25/04/2014,12470
Nissan,Sentra,03/10/2015,56558
Tesla,Model 3,19/08/2013,82880
Chevrolet,Camaro,27/04/2021,77117
Kia,Picanto,26/02/2014,45686
Kia,Picanto,26/07/2014,22990
Kia,Picanto,05/11/2021,13081
Toyota,Camry,20/09/2020,80550
Toyota,Camry,07/02/2011,27764
Toyota,Camry,28/01/2011,64350
Toyota,Camry,13/05/2011,77521
Kia,Picanto,17/06/2014,28832
Honda,Accord,25/12/2013,85033
Toyota,Camry,23/07/2017,73394
Tesla,Model 3,12/03/2014,35173
Ford,Mustang,07/11/2013,33895
Toyota,Camry,02/02/2021,60664
Nissan,Sentra,06/07/2019,73439
Tesla,Model 3,12/07/2014,29064
Kia,Picanto,12/12/2016,29480
Kia,Picanto,22/12/2011,94168
Tesla,Model 3,17/05/2015,50438
Tesla,Model 3,11/04/2012,14114
Tesla,Model 3,21/02/2012,15906
Honda,Accord,09/11/2013,27898
Nissan,Sentra,26/09/2021,42684
Kia,Picanto,26/03/2013,75621
Nissan,Sentra,17/07/2010,57626
Honda,Accord,06/03/2014,76319
Chevrolet,Camaro,15/09/2016,44965
Toyota,Camry,09/07/2022,30091
Nissan,Sentra,27/09/2012,20308
Honda,Accord,23/10/2021,42077
Kia,Picanto,12/01/2014,73179
Honda,Accord,24/03/2018,73954
Kia,Picanto,14/01/2010,64227
Chevrolet,Camaro,01/07/2017,23089
Nissan,Sentra,26/09/2016,47503
Chevrolet,Camaro,28/12/2017,48898
Honda,Accord,11/05/2021,62327
Honda,Accord,06/10/2019,74309
Ford,Mustang,16/01/2010,31908
Kia,Picanto,09/05/2021,35250
Kia,Picanto,10/11/2011,63062
Honda,Accord,11/01/2020,68855
Tesla,Model 3,,30849
Toyota,Camry,14/01/2020,49123
Toyota,Camry,08/08/2022,24944
Tesla,Model 3,28/05/2015,62497
Honda,Accord,01/01/2010,51641
Chevrolet,Camaro,18/02/2015,33924
Ford,Mustang,09/03/2019,16189
Chevrolet,Camaro,12/04/2012,59795
Ford,Mustang,02/10/2019,68650
Honda,Accord,27/06/2020,48390
Nissan,Sentra,06/04/2021,60599
Chevrolet,Camaro,23/02/2018,19570
Honda,Accord,08/11/2011,64642
Chevrolet,Camaro,13/06/2021,23028
Nissan,Sentra,02/12/2022,10615
Kia,Picanto,09/10/2013,44682
Honda,Accord,22/11/2016,81186
Tesla,Model 3,06/11/2017,66754
Nissan,Sentra,21/11/2021,83225
Ford,Mustang,19/06/2015,98828
Ford,Mustang,22/02/2011,73489
Toyota,Camry,10/02/2012,65913
Kia,Picanto,15/05/2017,17047
Nissan,Sentra,27/03/2021,84546
Chevrolet,Camaro,01/03/2011,40007
Chevrolet,Camaro,27/09/2015,58252
Toyota,Camry,11/04/2022,78704
Honda,Accord,07/05/2017,50478
Nissan,Sentra,23/05/2014,97816
Honda,Accord,28/04/2017,63347
Ford,Mustang,07/12/2010,60967
Honda,Accord,15/03/2021,16534
Chevrolet,Camaro,15/09/2014,71110
Tesla,Model 3,19/06/2011,66613
Chevrolet,Camaro,25/02/2019,39901
Tesla,Model 3,12/11/2018,34528
Honda,Accord,01/09/2013,
Tesla,Model 3,25/05/2012,46661
Tesla,Model 3,21/01/2012,73521
Honda,Accord,02/03/2022,51428
Chevrolet,Camaro,21/04/2016,24943
Ford,Mustang,05/04/2011,72820
Kia,Picanto,21/05/2011,53946
Chevrolet,Camaro,14/11/2020,18027
Nissan,Sentra,24/01/2019,15445
Ford,Mustang,12/06/2018,67015
Ford,Mustang,17/03/2011,82005
Ford,Mustang,11/05/2021,58062
Tesla,Model 3,28/06/2016,93423
Nissan,Sentra,11/02/2011,56963
Nissan,Sentra,25/10/2020,68747
Chevrolet,Camaro,08/03/2013,41151
Nissan,Sentra,23/08/2013,93738
Nissan,Sentra,02/10/2020,69780
Nissan,Sentra,24/06/2015,69620
Toyota,Camry,08/06/2014,31370
Toyota,Camry,27/02/2013,19124
Toyota,Camry,17/12/2022,78947
Honda,Accord,20/02/2013,58260
Kia,Picanto,17/02/2010,91820
Honda,Accord,04/02/2020,16244
Kia,Picanto,24/11/2012,28360
Ford,Mustang,24/10/2014,84562
Toyota,Camry,09/03/2016,92241
